Name,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World
83. Joker,55000000,335477657,96202337,2019-10-06 00:00:00,1078958629
84. Your Name.,370000000,5017246,1813781,2017-04-09 00:00:00,382238191
85. High and Low,0,0,0,1900-01-01 00:00:00,0
86. Once Upon a Time in America,30000000,5321508,2412014,1984-06-03 00:00:00,5475086
87. 3 Idiots,550000000,6532874,1645502,2009-12-27 00:00:00,60262836
88. Singin' in the Rain,2540800,1884537,13643,2002-11-10 00:00:00,2086028
89. Capernaum,4000000,1661096,24988,2018-12-16 00:00:00,64417003
90. Come and See,0,0,0,1900-01-01 00:00:00,0
91. Requiem for a Dream,4500000,3635482,64770,2000-10-08 00:00:00,7390108
92. Toy Story 3,200000000,415004880,110307189,2010-06-20 00:00:00,1067316101
93. Star Wars: Episode VI - Return of the Jedi,32500000,316566101,23019618,1983-05-29 00:00:00,475106177
94. Eternal Sunshine of the Spotless Mind,20000000,34400301,8175198,2004-03-21 00:00:00,73393152
95. The Hunt,20000000,613308,43045,2013-07-14 00:00:00,15886373
96. 2001: A Space Odyssey,12000000,60481243,202759,2018-05-20 00:00:00,66679293
97. Reservoir Dogs,1200000,2832029,147839,1992-10-25 00:00:00,2930208
98. Ikiru,0,0,0,1900-01-01 00:00:00,0
99. Oppenheimer,100000000,329862540,82455420,2023-07-23 00:00:00,975134850
100. Lawrence of Arabia,15000000,45306425,20846,2002-09-22 00:00:00,45752380
101. The Apartment,0,0,0,1900-01-01 00:00:00,0
102. Incendies,6800000,2071334,50679,2011-04-24 00:00:00,6797861
103. North by Northwest,0,0,0,1900-01-01 00:00:00,0
104. Citizen Kane,0,0,0,1900-01-01 00:00:00,0
105. M,0,0,0,1900-01-01 00:00:00,0
106. Scarface,50000000,45967303,4597536,1983-12-11 00:00:00,66443303
107. Double Indemnity,0,0,0,1900-01-01 00:00:00,0
108. Vertigo,2479000,7705225,252880,2018-03-18 00:00:00,7808250
109. Full Metal Jacket,30000000,46357676,2217307,1987-06-28 00:00:00,50187505
110. Amélie,10000000,33712444,136470,2001-11-04 00:00:00,174926751
111. Heat,60000000,67436818,8445656,1995-12-17 00:00:00,187436818
112. Up,175000000,293004164,68108790,2009-05-31 00:00:00,735102136
113. A Clockwork Orange,0,0,0,1900-01-01 00:00:00,0
114. To Kill a Mockingbird,2000000,592237,357549,2019-03-24 00:00:00,599146
115. A Separation,500000,7099055,59481,2012-01-01 00:00:00,22926076
116. The Sting,0,0,0,1900-01-01 00:00:00,0
117. Indiana Jones and the Last Crusade,48000000,197171806,29355021,1989-05-28 00:00:00,474171806
118. Die Hard,28000000,85892546,601851,1988-07-17 00:00:00,143651650
119. Like Stars on Earth,0,0,0,1900-01-01 00:00:00,0
120. Metropolis,6000000,1236166,19386,2002-07-14 00:00:00,1350322
121. Snatch,6000000,30328156,27932,2000-12-10 00:00:00,83557872
122. L.A. Confidential,35000000,64616940,5211198,1997-09-21 00:00:00,126216940
