Name,Color,Sound_Mix,Aspect_Ratio
106. Scarface,Color,4-Track Stereo,2.39 : 1
107. Double Indemnity,,,
108. Vertigo,,,
109. Full Metal Jacket,,,
110. Amélie,Color Black and White,DTS Dolby Digital,2.39 : 1
111. Heat,Color,Dolby Digital SDDS Dolby Surround 5.1,2.39 : 1
112. Up,Color,SDDS Dolby Digital Dolby Atmos Dolby Surround 7.1,1.85 : 1
113. A Clockwork Orange,Color Black and White,Mono,1.66 : 1
114. To Kill a Mockingbird,Black and White,Dolby Digital,1.85 : 1
115. A Separation,Color,Dolby Digital,1.85 : 1
116. The Sting,,,
117. Indiana Jones and the Last Crusade,Color,Dolby Atmos,2.39 : 1
118. Die Hard,,,
119. Like Stars on Earth,Color,DTS Dolby Digital,2.35 : 1
120. Metropolis,,,
121. Snatch,Color,Dolby Digital SDDS Dolby Atmos,1.85 : 1
122. L.A. Confidential,Color,Dolby Digital,2.39 : 1
123. 1917,Color,Dolby Atmos Dolby Digital Dolby Surround 7.1,2.39 : 1
124. Hamilton,Color,Dolby Atmos Dolby Surround 7.1 Dolby Digital,1.85 : 1
125. Bicycle Thieves,Black and White,Mono,1.37 : 1
126. Taxi Driver,,,
127. Downfall,Color,Dolby Digital DTS,1.85 : 1
128. Dangal,Color,Dolby Atmos,2.35 : 1
129. For a Few Dollars More,Color,Mono,2.35 : 1
130. Batman Begins,Color,DTS Dolby Digital SDDS,2.39 : 1
131. The Wolf of Wall Street,Color,Datasat Dolby Digital Dolby Surround 7.1,2.39 : 1
132. Some Like It Hot,,,
133. Green Book,Color,Dolby Surround 7.1 SDDS,2.00 : 1
134. The Kid,,,
135. The Father,Color,Dolby Digital,2.39 : 1
136. Judgment at Nuremberg,,,
137. The Truman Show,Color,DTS Dolby Digital Dolby Atmos,1.66 : 1
138. All About Eve,,,
139. Shutter Island,Color,SDDS Dolby Digital DTS,2.39 : 1
140. Top Gun: Maverick,Color,Dolby Atmos Auro 11.1 IMAX 6-Track 12-Track Digital Sound Sonics-DDP,2.39 : 1
141. There Will Be Blood,Color,SDDS Dolby Digital DTS,2.39 : 1
142. Casino,Color,DTS-Stereo DTS,2.39 : 1
143. Jurassic Park,Color,DTS,1.85 : 1
144. Ran,,,
145. The Sixth Sense,Color,DTS Dolby Digital SDDS,1.85 : 1
146. Pan's Labyrinth,Color,DTS Dolby Digital SDDS Dolby Surround 7.1,1.85 : 1
147. Unforgiven,,,
148. No Country for Old Men,Color,SDDS Dolby Digital DTS,2.39 : 1
149. A Beautiful Mind,Color,DTS Dolby Digital SDDS,1.85 : 1
150. The Thing,,,
151. Kill Bill: Vol. 1,Color Black and White,DTS Dolby Digital SDDS,2.39 : 1
152. The Treasure of the Sierra Madre,,,
153. Yojimbo,,,
154. Monty Python and the Holy Grail,,,
155. The Great Escape,,,
156. Finding Nemo,,,
157. Prisoners,,,
158. Howl's Moving Castle,Color,Dolby Digital EX DTS-ES SDDS,1.85 : 1
159. Rashomon,,,
160. The Elephant Man,Black and White,Dolby Stereo,2.35 : 1
161. Dial M for Murder,,,
162. Chinatown,,,
163. Gone with the Wind,,,
164. Lock Stock and Two Smoking Barrels,Color,Dolby Digital,1.85 : 1
165. V for Vendetta,Color,DTS Dolby Digital SDDS Dolby Atmos,2.35 : 1
166. The Secret in Their Eyes,Color,Dolby Digital,2.35 : 1
167. Inside Out,Color,Dolby Digital Datasat Dolby Atmos SDDS Dolby Surround 7.1 Auro 11.1 12-Track Digital Sound D-Cinema 48kHz Dolby Surround 7.1 D-Cinema 96kHz 7.1 D-Cinema 96kHz 5.1,1.78 : 1
168. Raging Bull,Black and White Color,Dolby Stereo,1.85 : 1
169. Three Billboards Outside Ebbing Missouri,Color,Dolby Digital,2.35 : 1
170. Trainspotting,Color,Dolby SR,1.85 : 1
171. The Bridge on the River Kwai,,,
172. Klaus,Color,Dolby Atmos,1.85 : 1
173. Fargo,Color,Dolby SR,1.85 : 1
174. Catch Me If You Can,Color,DTS Dolby Digital SDDS,1.85 : 1
175. Spider-Man: No Way Home,,,
176. Warrior,Color,Dolby Digital Datasat SDDS Dolby Surround 7.1 Dolby Atmos,2.35 : 1
177. Gran Torino,Color,DTS Dolby Digital SDDS,2.39 : 1
178. Harry Potter and the Deathly Hallows: Part 2,Color,Dolby Digital Datasat Dolby Surround 7.1 SDDS Sonics-DDP,2.39 : 1
179. Million Dollar Baby,Color,DTS Dolby Digital SDDS,2.39 : 1
180. My Neighbor Totoro,,,
181. Children of Heaven,Color,Mono,1.85 : 1
182. 12 Years a Slave,Color,Dolby Digital SDDS Dolby Surround 7.1,2.35 : 1
183. Ben-Hur,,,
184. Blade Runner,Color,Dolby Atmos,2.39 : 1
185. Before Sunrise,,,
186. Barry Lyndon,,,
187. The Grand Budapest Hotel,,,
188. Mad Max: Fury Road,Color,Dolby Digital Datasat SDDS Dolby Atmos,2.39 : 1
189. Gone Girl,Color,Dolby Digital Dolby Atmos Datasat Dolby Surround 7.1,2.39 : 1
190. Hacksaw Ridge,Color,Dolby Atmos,2.35 : 1
191. Dead Poets Society,,,
192. The Gold Rush,Black and White,Silent,1.33 : 1
193. Memories of Murder,Color,Dolby Digital,1.85 : 1
194. In the Name of the Father,Color,Dolby Stereo DTS,1.85 : 1
195. Wild Tales,Color,Dolby Surround 7.1,2.35 : 1
196. Monsters Inc.,Color,SDDS Dolby Digital,1.85 : 1
197. The Deer Hunter,,,
198. The General,,,
199. On the Waterfront,,,
200. Sherlock Jr.,Black and White,Silent,1.33 : 1
201. How to Train Your Dragon,Color,Dolby Digital DTS SDDS,2.39 : 1
202. Jaws,,,
203. Mary and Max,Color Black and White,Dolby Digital,1.85 : 1
204. The Third Man,,,
205. The Wages of Fear,,,
206. Ratatouille,Color,SDDS Dolby Digital Dolby Atmos,2.39 : 1
207. Wild Strawberries,Black and White,Mono,1.33 : 1
208. Mr. Smith Goes to Washington,,,
209. Ford v Ferrari,Color,Dolby Atmos Dolby Digital,2.39 : 1
210. Tokyo Story,Black and White,Mono,1.37 : 1
211. The Big Lebowski,Color,DTS Dolby Digital SDDS,1.85 : 1
212. Rocky,Color,Mono Dolby Digital,1.85 : 1
213. The Seventh Seal,,,
214. Room,Color,Dolby Digital Datasat Dolby Atmos,2.35 : 12.39 : 1
215. Logan,Color,Dolby Atmos Dolby Digital Dolby Surround 7.1 SDDS,2.39 : 1
216. Spotlight,Color,Dolby Digital,1.85 : 1
217. Hotel Rwanda,Color,DTS Dolby Digital,2.35 : 1
218. The Terminator,Color,Mono,1.85 : 1
219. Platoon,Color,Dolby Stereo Dolby Digital,1.85 : 1
220. The Passion of Joan of Arc,Black and White,Silent,1.33 : 1
221. La haine,Black and White,Dolby Digital,1.85 : 1
222. Before Sunset,Color,DTS Dolby Digital SDDS,1.85 : 1
223. Pirates of the Caribbean: The Curse of the Black Pearl,Color,Dolby Digital EX SDDS DTS,2.39 : 1
224. The Best Years of Our Lives,,,
225. Jai Bhim,,,
226. The Exorcist,Color,Mono,1.85 : 1
227. Rush,Color,Dolby Digital Datasat SDDS,2.35 : 1
228. Network,Color,Mono,1.85 : 1
229. The Wizard of Oz,,,
230. Stand by Me,Color,Dolby Atmos Dolby Digital Mono,1.85 : 1
231. The Incredibles,Black and White Color,Dolby Digital EX,2.39 : 12.35 : 1
232. Hachi: A Dog's Tale,Color,DTS Dolby Digital SDDS,1.85 : 1
233. My Father and My Son,Color,Dolby Digital,1.85 : 1
234. The Handmaiden,Color,Dolby Digital Dolby Atmos Dolby Surround 7.1,2.35 : 1
235. The Sound of Music,,,
236. Into the Wild,Color,DTS Dolby Digital SDDS,2.39 : 1
237. To Be or Not to Be,,,
238. The Battle of Algiers,Black and White,Mono,1.85 : 1
239. The Grapes of Wrath,,,
240. Groundhog Day,Color,Dolby Stereo Dolby Digital Dolby Atmos,1.85 : 1
241. Amores Perros,Color,Dolby Digital,1.85 : 1
242. The Iron Giant,,,
243. Rebecca,,,
244. Cool Hand Luke,,,
245. The Help,Color,Dolby Digital SDDS Datasat,1.85 : 1
246. It Happened One Night,,,
247. Drishyam,Color,Dolby Digital,2.35 : 1
248. Dances with Wolves,,,
249. Aladdin,Color,Dolby Stereo,1.78 : 11.85 : 1
250. Scent of a Woman,Color,Dolby Stereo,1.85 : 1
