Name,Year,Durasi(Menit),Rating,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World,Color,Sound_Mix,Aspect_Ratio
Rashomon,1950,88,Not Rated,250000,46808,15942,2002-07-28 00:00:00,117668,,,
Dial M for Murder,1954,105,PG,1400000,24845,12562,1999-04-11 00:00:00,43308,,,
Lock Stock and Two Smoking Barrels,1998,107,R,960000,3753929,143321,1999-03-07 00:00:00,3753929,Color,Dolby Digital,1.85 : 1
The Secret in Their Eyes,2009,129,R,2000000,6391436,167866,2010-04-18 00:00:00,35079650,Color,Dolby Digital,2.35 : 1
Raging Bull,1980,129,R,18000000,23383987,128590,1980-11-16 00:00:00,23405198,Black and White Color,Dolby Stereo,1.85 : 1
Trainspotting,1996,93,R,1500000,16491080,262673,1996-07-21 00:00:00,16970564,Color,Dolby SR,1.85 : 1
Fargo,1996,98,R,7000000,24611975,730265,1996-03-10 00:00:00,60611975,Color,Dolby SR,1.85 : 1
Warrior,2011,140,PG-13,25000000,13657115,5242107,2011-09-11 00:00:00,23308615,Color,Dolby Digital Datasat SDDS Dolby Surround 7.1 Dolby Atmos,2.35 : 1
My Neighbor Totoro,1988,86,G,3700000,2250213,539245,2018-09-30 00:00:00,30695952,,,
Children of Heaven,1997,89,PG,180000,933933,20100,1999-01-24 00:00:00,933933,Color,Mono,1.85 : 1
Blade Runner,1982,117,R,28000000,32914489,6150002,1982-06-27 00:00:00,41757237,Color,Dolby Atmos,2.39 : 1
Before Sunrise,1995,101,R,2500000,5535405,1423537,1995-01-29 00:00:00,5993086,,,
Memories of Murder,2003,132,Not Rated,2800000,15357,4487,2005-07-17 00:00:00,1208481,Color,Dolby Digital,1.85 : 1
In the Name of the Father,1993,133,R,13000000,25096862,109805,1994-01-02 00:00:00,65796862,Color,Dolby Stereo DTS,1.85 : 1
Wild Tales,2014,122,R,3300000,3106530,85100,2015-02-22 00:00:00,31478893,Color,Dolby Surround 7.1,2.35 : 1
Mr. Smith Goes to Washington,1939,129,Approved,1900000,144738,83205,2018-10-14 00:00:00,145941,,,
The Big Lebowski,1998,117,R,15000000,19301403,5533844,1998-03-08 00:00:00,48066229,Color,DTS Dolby Digital SDDS,1.85 : 1
Room,2015,118,R,13000000,14677654,118298,2015-10-18 00:00:00,35402766,Color,Dolby Digital Datasat Dolby Atmos,2.35 : 12.39 : 1
Spotlight,2015,129,R,20000000,45055776,295009,2015-11-08 00:00:00,98690254,Color,Dolby Digital,1.85 : 1
Hotel Rwanda,2004,121,PG-13,17500000,23530892,100091,2004-12-26 00:00:00,33882243,Color,DTS Dolby Digital,2.35 : 1
The Terminator,1984,107,R,6400000,38371200,4020663,1984-10-28 00:00:00,78371200,Color,Mono,1.85 : 1
Before Sunset,2004,80,R,2700000,5820649,219425,2004-07-04 00:00:00,15855022,Color,DTS Dolby Digital SDDS,1.85 : 1
Rush,2013,123,R,38000000,26947624,187289,2013-09-22 00:00:00,96992516,Color,Dolby Digital Datasat SDDS,2.35 : 1
The Wizard of Oz,1939,102,G,2777000,24668669,5354311,1998-11-08 00:00:00,25637669,,,
Into the Wild,2007,148,R,15000000,18354356,212440,2007-09-23 00:00:00,56676733,Color,DTS Dolby Digital SDDS,2.39 : 1
The Battle of Algiers,1966,121,Not Rated,800000,879794,64870,2004-01-11 00:00:00,962002,Black and White,Mono,1.85 : 1
Amores Perros,2000,154,R,2000000,5408467,61047,2001-04-01 00:00:00,20908467,Color,Dolby Digital,1.85 : 1
The Iron Giant,1999,86,PG,70000000,23315035,5732614,1999-08-08 00:00:00,23336504,,,
